method_code,method_name,section,grades,recommended_competitions
A1,"Прямые вычисления и арифметика","A","[5, 6, 7, 8, 9]","ВсОШ, Ломоносов, Курчатов"
A2,"Текстовые задачи (общее)","A","[5, 6, 7, 8, 9]","ВсОШ, Ломоносов"
A2a,"Движение","A","[5, 6, 7, 8, 9]","ВсОШ, Ломоносов, Физтех"
A2b,"Работа и производительность","A","[5, 6, 7, 8, 9]","ВсОШ, Ломоносов"
A2c,"Проценты, концентрации, сплавы","A","[6, 7, 8, 9, 10]","ВсОШ, Высшая проба, Ломоносов"
B1,"Рыцари и лжецы","B","[5, 6, 7, 8, 9]","ВсОШ, Турнир городов"
B2,"Симуляция процесса по шагам","B","[6, 7, 8, 9]","ВсОШ"
B3,"Взвешивания и адаптивные измерения","B","[7, 8, 9, 10, 11]","ВсОШ, Турнир городов"
B4,"Шляпы и стратегии с информацией","B","[9, 10, 11]","ВсОШ заключ., Турнир городов"
B5,"Переправы и перевозки","B","[6, 7, 8, 9]","ВсОШ"
B6,"Турниры и линейные порядки","B","[8, 9, 10, 11]","ВсОШ, Физтех"
B7,"Парная стратегия (доминошки)","B","[7, 8, 9, 10]","ВсОШ"
C1,"ФСУ и алгебраические тождества","C","[7, 8, 9, 10, 11]","ВсОШ, Ломоносов, Курчатов, Физтех"
C2,"Дискриминант и квадратные уравнения","C","[8, 9, 10, 11]","ВсОШ, Ломоносов, Физтех"
C3,"Общий корень многочленов","C","[9, 10, 11]","ВсОШ, Курчатов"
C4,"Подстановки и замены переменной","C","[8, 9, 10, 11]","ВсОШ, Ломоносов"
C5,"Многочлены (общее)","C","[9, 10, 11]","ВсОШ, Курчатов, Физтех"
C5a,"Теорема Виета","C","[9, 10, 11]","ВсОШ, Ломоносов, Физтех"
C5b,"Деление многочленов, остатки","C","[9, 10, 11]","ВсОШ, Курчатов"
C6,"Многочлены с целыми коэф., теорема о корнях","C","[10, 11]","ВсОШ заключ., Физтех"
C7,"Функциональные уравнения","C","[10, 11]","ВсОШ заключ., Турнир городов"
C8,"Целая и дробная часть","C","[9, 10, 11]","ВсОШ, Высшая проба"
C9,"Рекуррентные последовательности","C","[10, 11]","Физтех, Курчатов"
C10,"Математическая индукция","C","[8, 9, 10, 11]","ВсОШ, Ломоносов, Курчатов, Физтех"
C11,"Тождества Софи Жермен и продвинутая факторизация","C","[9, 10, 11]","ВсОШ заключ., Курчатов, Турнир городов"
C12,"Симметрические многочлены и переход к s,p","C","[9, 10, 11]","ВсОШ, Ломоносов, Физтех"
D1,"Делимость, признаки делимости","D","[6, 7, 8, 9, 10, 11]","ВсОШ, Ломоносов, Курчатов"
D1a,"Признаки делимости на 2,3,4,5,8,9,11","D","[6, 7, 8, 9]","ВсОШ, Ломоносов"
D1b,"Серия конструкций (бесконечно много примеров)","D","[9, 10, 11]","ВсОШ заключ."
D2,"НОД, НОК, алгоритм Евклида","D","[7, 8, 9, 10, 11]","ВсОШ, Ломоносов, Курчатов"
D3,"Сравнения по модулю","D","[8, 9, 10, 11]","ВсОШ, Ломоносов, Физтех"
D4,"Бесконечный спуск","D","[10, 11]","ВсОШ заключ., Физтех"
D5,"Китайская теорема об остатках","D","[10, 11]","ВсОШ заключ., Турнир городов"
D6,"Алгебраические тождества в ТЧ","D","[9, 10, 11]","ВсОШ, Курчатов"
D7,"LTE (Lifting the Exponent)","D","[10, 11]","ВсОШ заключ., Турнир городов"
D8,"Анализ остатков по конкретному модулю","D","[8, 9, 10, 11]","ВсОШ, Ломоносов"
D9,"Простые числа и их распределение","D","[9, 10, 11]","ВсОШ, Курчатов"
D10,"p-адическое v_p и формула Лежандра","D","[10, 11]","ВсОШ заключ., Физтех"
D11,"Разложения в столбик, цифровые суммы","D","[8, 9, 10, 11]","ВсОШ, Ломоносов"
D12,"Целочисленные оценки","D","[9, 10, 11]","ВсОШ, Ломоносов, Курчатов"
D13,"Диофантовы уравнения: общий метод (оценка + перебор остатков)","D","[8, 9, 10, 11]","ВсОШ, Ломоносов, Курчатов"
E1,"Прямой подсчёт и перебор","E","[6, 7, 8, 9, 10, 11]","ВсОШ, Ломоносов"
E2,"Биекция и инъекция","E","[9, 10, 11]","ВсОШ заключ."
E3,"Двойной счёт (классика)","E","[8, 9, 10, 11]","ВсОШ, Курчатов"
