Формат имени чертежа: <task_id>_<класс>.svg
Пример: f2_560_5.svg = задача f2_560 (класс 5).
Суффикс после последнего "_" — это КЛАСС, не часть id.

task_id	класс	файл_чертежа
--------------------------------------------------
f2_560	5	f2_560_5.svg
f2_562	5	f2_562_5.svg
f2_566	5	f2_566_5.svg
f2_569	5	f2_569_5.svg
f2_574	5	f2_574_5.svg
f2_575	5	f2_575_5.svg
f2_576	5	f2_576_5.svg
f2_582	5	f2_582_5.svg
f2_584	5	f2_584_5.svg
f2_585	5	f2_585_5.svg
f2_586	5	f2_586_5.svg
f2_588	5	f2_588_5.svg
f2_592	5	f2_592_5.svg
f2_593	5	f2_593_5.svg
f2_594	5	f2_594_5.svg
f2_600	5	f2_600_5.svg
f2_602	5	f2_602_5.svg
f2_603	5	f2_603_5.svg
f2_604	5	f2_604_5.svg
f2_605	5	f2_605_5.svg
f2_606	5	f2_606_5.svg
f2_610	5	f2_610_5.svg
f2_611	5	f2_611_5.svg
f2_612	5	f2_612_5.svg
f2_614	5	f2_614_5.svg
f2_615	5	f2_615_5.svg
f2_618	5	f2_618_5.svg
f2_621	5	f2_621_5.svg
f2_622	5	f2_622_5.svg
f2_623	5	f2_623_5.svg
f2_625	5	f2_625_5.svg
f2_627	5	f2_627_5.svg
f2_630	5	f2_630_5.svg
f2_631	5	(НЕТ ЧЕРТЕЖА)
f2_633	5	f2_633_5.svg
f2_634	5	f2_634_5.svg
f2_636	5	f2_636_5.svg
f2_637	5	f2_637_5.svg
f2_638	5	f2_638_5.svg
f2_640	5	f2_640_5.svg
f2_642	5	f2_642_5.svg
f2_643	5	f2_643_5.svg
f2_645	5	f2_645_5.svg
f2_647	5	f2_647_5.svg
f2_648	5	f2_648_5.svg
f2_649	5	f2_649_5.svg
f2_652	5	f2_652_5.svg
f2_654	5	f2_654_5.svg
f2_655	5	f2_655_5.svg
f2_656	5	f2_656_5.svg
f2_657	5	f2_657_5.svg
f2_658	5	f2_658_5.svg
f2_659	5	f2_659_5.svg
f2_661	5	f2_661_5.svg
f2_664	5	f2_664_5.svg
f2_665	5	f2_665_5.svg
f2_666	5	f2_666_5.svg
f2_667	5	f2_667_5.svg
f2_668	5	f2_668_5.svg
f2_669	5	f2_669_5.svg
f2_670	5	f2_670_5.svg
f2_671	5	f2_671_5.svg
f2_672	5	f2_672_5.svg
f2_673	5	f2_673_5.svg
f2_674	5	f2_674_5.svg
f2_675	5	f2_675_5.svg
f2_676	5	f2_676_5.svg
f2_677	5	f2_677_5.svg
f2_680	5	f2_680_5.svg
f2_681	5	f2_681_5.svg
f2_682	5	f2_682_5.svg
f2_683	5	f2_683_5.svg
f2_684	5	f2_684_5.svg
f2_685	5	f2_685_5.svg
f2_687	5	f2_687_5.svg
f2_688	5	f2_688_5.svg
f2_689	5	f2_689_5.svg
f2_690	5	f2_690_5.svg
f2_691	5	f2_691_5.svg
f2_692	5	f2_692_5.svg
f2_693	5	f2_693_5.svg
f2_694	5	f2_694_5.svg
f2_696	5	f2_696_5.svg
f2_697	5	f2_697_5.svg
f2_699	5	f2_699_5.svg
f2_980	5	f2_980_5.svg
f2_981	5	f2_981_5.svg
f2_982	5	f2_982_5.svg
f2_983	5	f2_983_5.svg
f2_984	5	f2_984_5.svg
f2_986	5	f2_986_5.svg
f2_987	5	f2_987_5.svg
f2_988	5	f2_988_5.svg
f2_991	5	f2_991_5.svg
f2_992	5	f2_992_5.svg
f2_993	5	f2_993_5.svg
f2_994	5	f2_994_5.svg
f2_995	5	f2_995_5.svg
f2_996	5	f2_996_5.svg
f2_997	5	f2_997_5.svg
f2_998	5	f2_998_5.svg
f2_1000	5	f2_1000_5.svg
f2_1001	5	f2_1001_5.svg
f2_1002	5	f2_1002_5.svg
f2_1003	5	f2_1003_5.svg
f2_1004	5	f2_1004_5.svg
f2_1005	5	f2_1005_5.svg
f2_1006	5	f2_1006_5.svg
f2_1007	5	f2_1007_5.svg
f2_1008	5	f2_1008_5.svg
f2_1009	5	f2_1009_5.svg
f2_1011	5	f2_1011_5.svg
f2_1012	5	f2_1012_5.svg
f2_1014	5	f2_1014_5.svg
f2_1015	5	f2_1015_5.svg
f2_1016	5	f2_1016_5.svg
f2_1017	5	f2_1017_5.svg
f2_1018	5	f2_1018_5.svg
f2_1019	5	f2_1019_5.svg
f2_1021	5	f2_1021_5.svg
f2_1022	5	f2_1022_5.svg
f2_1023	5	f2_1023_5.svg
f2_1024	5	f2_1024_5.svg
f2_1025	5	f2_1025_5.svg
f2_1026	5	f2_1026_5.svg
f2_1027	5	f2_1027_5.svg
f2_1028	5	f2_1028_5.svg
f2_1029	5	f2_1029_5.svg
f2_1030	5	f2_1030_5.svg
f2_1031	5	f2_1031_5.svg
f2_1032	5	f2_1032_5.svg
f2_1033	5	f2_1033_5.svg
f2_1034	5	f2_1034_5.svg
f2_1035	5	f2_1035_5.svg
f2_1036	5	f2_1036_5.svg
f2_1037	5	f2_1037_5.svg
f2_1038	5	f2_1038_5.svg
f2_1039	5	f2_1039_5.svg
f2_1040	5	f2_1040_5.svg
f2_1041	5	f2_1041_5.svg
f2_1042	5	f2_1042_5.svg
f2_1043	5	f2_1043_5.svg
f2_1044	5	f2_1044_5.svg
f2_1045	5	f2_1045_5.svg
f2_1046	5	f2_1046_5.svg
f2_1048	5	f2_1048_5.svg
f2_1049	5	f2_1049_5.svg
f2_1085	5	f2_1085_5.svg
f2_1086	5	f2_1086_5.svg
f2_1087	5	f2_1087_5.svg
f2_1088	5	f2_1088_5.svg
f2_1089	5	f2_1089_5.svg
f2_1090	5	f2_1090_5.svg
f2_1091	5	f2_1091_5.svg
f2_1092	5	f2_1092_5.svg
f2_1093	5	f2_1093_5.svg
f2_1094	5	f2_1094_5.svg
f2_1095	5	f2_1095_5.svg
f2_1096	5	f2_1096_5.svg
f2_1097	5	f2_1097_5.svg
f2_1098	5	f2_1098_5.svg
f2_1099	5	f2_1099_5.svg
f2_1100	5	f2_1100_5.svg
f2_1101	5	f2_1101_5.svg
