topic_order,topic_id,topic_name,subtopic_order,subtopic_id,subtopic_name,authority
1,T001,Алгебра: теория групп,1,S0,Группы: определения и примеры,direct_user_specification
1,T001,Алгебра: теория групп,2,S1,"Группы: подгруппы, смежные классы",direct_user_specification
1,T001,Алгебра: теория групп,3,S2,Гомоморфизмы и факторгруппы,direct_user_specification
2,T002,Арифметика и теория чисел,1,S0,Делимость и остатки,direct_user_specification
2,T002,Арифметика и теория чисел,2,S1,"НОД, НОК, алгоритм Евклида",direct_user_specification
2,T002,Арифметика и теория чисел,3,S2,Сравнения по модулю (a ≡ b mod n),direct_user_specification
3,T003,Графы: основные понятия,1,S0,"Графы: определения, изоморфизм",direct_user_specification
3,T003,Графы: основные понятия,2,S1,"Маршруты, цепи, циклы, Эйлеровы графы",direct_user_specification
3,T003,Графы: основные понятия,3,S2,Связность и компоненты связности,direct_user_specification
4,T004,Дополнительные задачи и смешанные темы,1,S0,Задачи на оптимизацию,direct_user_specification
4,T004,Дополнительные задачи и смешанные темы,2,S1,Комбинированные задачи (алгебра + геометрия),direct_user_specification
4,T004,Дополнительные задачи и смешанные темы,3,S2,Задачи на составление уравнений по условию,direct_user_specification
5,T005,Комбинаторика и теория игр,1,S0,Выигрышные и проигрышные позиции,direct_user_specification
5,T005,Комбинаторика и теория игр,2,S1,Игры с симметричной стратегией,direct_user_specification
5,T005,Комбинаторика и теория игр,3,S2,Стратегия и анализ игр,direct_user_specification
6,T006,Комбинаторика: счётные техники,1,S0,Перестановки и факториалы,direct_user_specification
6,T006,Комбинаторика: счётные техники,2,S1,Правила сложения и умножения в комбинаторике,direct_user_specification
6,T006,Комбинаторика: счётные техники,3,S2,Размещения и сочетания,direct_user_specification
7,T007,Логика и множества,1,S0,Высказывания и предикаты,direct_user_specification
7,T007,Логика и множества,2,S1,Логические операции и таблицы истинности,direct_user_specification
7,T007,Логика и множества,3,S2,Множества и операции над ними,direct_user_specification
8,T008,Метод координат: декартовы координаты,1,S0,Координаты на прямой и плоскости,direct_user_specification
8,T008,Метод координат: декартовы координаты,2,S1,"Расстояние между точками, середина отрезка",direct_user_specification
8,T008,Метод координат: декартовы координаты,3,S2,Уравнения прямых и окружностей,direct_user_specification
9,T009,Метод координат: векторы,1,S0,"Векторы: сложение, умножение на число",direct_user_specification
9,T009,Метод координат: векторы,2,S1,"Координаты вектора, связь с точками",direct_user_specification
9,T009,Метод координат: векторы,3,S2,Скалярное произведение векторов,direct_user_specification
10,T010,Неравенства: алгебраические неравенства,1,S0,Доказательство неравенств,direct_user_specification
10,T010,Неравенства: алгебраические неравенства,2,S1,Квадратные неравенства,direct_user_specification
10,T010,Неравенства: алгебраические неравенства,3,S2,Неравенства с модулем,direct_user_specification
11,T011,Неравенства: метод интервалов и рациональные,1,S0,Дробно-рациональные неравенства,direct_user_specification
11,T011,Неравенства: метод интервалов и рациональные,2,S1,Иррациональные неравенства,direct_user_specification
11,T011,Неравенства: метод интервалов и рациональные,3,S2,Метод интервалов для рациональных неравенств,direct_user_specification
12,T012,Неравенства: показательные и логарифмические,1,S0,Логарифмические неравенства,direct_user_specification
12,T012,Неравенства: показательные и логарифмические,2,S1,Показательные неравенства,direct_user_specification
12,T012,Неравенства: показательные и логарифмические,3,S2,Системы показательных и логарифмических неравенств,direct_user_specification
13,T013,Неравенства: тригонометрические,1,S0,Неравенства с обратными тригонометрическими функциями,direct_user_specification
13,T013,Неравенства: тригонометрические,2,S1,"Простейшие тригонометрические неравенства с sin, cos",direct_user_specification
13,T013,Неравенства: тригонометрические,3,S2,"Простейшие тригонометрические неравенства с tg, ctg",direct_user_specification
14,T014,Неравенства: числовые наборы,1,S0,Неравенства о среднем арифметическом и среднем геометрическом,direct_user_specification
14,T014,Неравенства: числовые наборы,2,S1,Неравенство Чебышева для числовых наборов,direct_user_specification
14,T014,Неравенства: числовые наборы,3,S2,"Цепочки неравенств, взвешенные средние",direct_user_specification
15,T015,Планиметрия: многоугольники,1,S0,"Многоугольники: виды, свойства",direct_user_specification
15,T015,Планиметрия: многоугольники,2,S1,Параллелограммы и трапеции,direct_user_specification
15,T015,Планиметрия: многоугольники,3,S2,"Треугольники: виды, свойства",direct_user_specification
16,T016,Планиметрия: окружность,1,S0,Вписанные углы и их свойства,direct_user_specification
16,T016,Планиметрия: окружность,2,S1,"Длина окружности, площадь круга и сектора",direct_user_specification
16,T016,Планиметрия: окружность,3,S2,Касательные и секущие к окружности,direct_user_specification
17,T017,Планиметрия: площадь,1,S0,Площади подобных фигур,direct_user_specification
17,T017,Планиметрия: площадь,2,S1,Площадь многоугольников (через разбиение и дополнение),direct_user_specification
17,T017,Планиметрия: площадь,3,S2,Формулы площади треугольника и четырёхугольника,direct_user_specification
18,T018,Планиметрия: треугольники,1,S0,Подобие треугольников,direct_user_specification
18,T018,Планиметрия: треугольники,2,S1,Признаки равенства треугольников,direct_user_specification
18,T018,Планиметрия: треугольники,3,S2,Теорема Пифагора,direct_user_specification
19,T019,Последовательности и прогрессии,1,S0,Арифметическая прогрессия,direct_user_specification
19,T019,Последовательности и прогрессии,2,S1,Геометрическая прогрессия,direct_user_specification
19,T019,Последовательности и прогрессии,3,S2,Суммы последовательностей,direct_user_specification
20,T020,Производная и её применение,1,S0,Геометрический смысл производной,direct_user_specification
20,T020,Производная и её применение,2,S1,Исследование функций с помощью производной,direct_user_specification
20,T020,Производная и её применение,3,S2,Правила и формулы дифференцирования,direct_user_specification
21,T021,"Проценты, отношения и пропорции",1,S0,Задачи на проценты,direct_user_specification
21,T021,"Проценты, отношения и пропорции",2,S1,Пропорции и отношения,direct_user_specification
21,T021,"Проценты, отношения и пропорции",3,S2,Прямая и обратная пропорциональность,direct_user_specification
22,T022,Рациональные уравнения и неравенства,1,S0,Дробно-рациональные уравнения,direct_user_specification
22,T022,Рациональные уравнения и неравенства,2,S1,Метод замены переменной в рациональных уравнениях,direct_user_specification
22,T022,Рациональные уравнения и неравенства,3,S2,Целые рациональные уравнения (линейные и квадратные),direct_user_specification
23,T023,Решение задач: анализ и интерпретация,1,S0,Оценка и прикидка,direct_user_specification
23,T023,Решение задач: анализ и интерпретация,2,S1,Проверка решения и поиск ошибок,direct_user_specification
23,T023,Решение задач: анализ и интерпретация,3,S2,Составление плана решения,direct_user_specification
24,T024,Решение уравнений: методы замены,1,S0,Замена переменной (подстановка),direct_user_specification
24,T024,Решение уравнений: методы замены,2,S1,Использование симметрии,direct_user_specification
24,T024,Решение уравнений: методы замены,3,S2,Сведение к системе уравнений,direct_user_specification
25,T025,Решение уравнений: разложение на множители,1,S0,Вынесение общего множителя и группировка,direct_user_specification
25,T025,Решение уравнений: разложение на множители,2,S1,Использование формул сокращённого умножения,direct_user_specification
25,T025,Решение уравнений: разложение на множители,3,S2,Разложение квадратного трёхчлена,direct_user_specification
26,T026,Системы уравнений,1,S0,Графический метод решения систем,direct_user_specification
26,T026,Системы уравнений,2,S1,Метод подстановки,direct_user_specification
26,T026,Системы уравнений,3,S2,Системы линейных уравнений,direct_user_specification
27,T027,Стереометрия: аксиомы и прямые,1,S0,Аксиомы стереометрии,direct_user_specification
27,T027,Стереометрия: аксиомы и прямые,2,S1,Взаимное расположение прямых в пространстве,direct_user_specification
27,T027,Стереометрия: аксиомы и прямые,3,S2,Параллельность прямых и плоскостей,direct_user_specification
28,T028,Стереометрия: многогранники,1,S0,"Параллелепипеды, призмы",direct_user_specification
28,T028,Стереометрия: многогранники,2,S1,Пирамиды,direct_user_specification
28,T028,Стереометрия: многогранники,3,S2,Правильные многогранники,direct_user_specification
29,T029,Стереометрия: объёмы и сечения,1,S0,Сечения многогранников,direct_user_specification
29,T029,Стереометрия: объёмы и сечения,2,S1,Объём многогранников,direct_user_specification
29,T029,Стереометрия: объёмы и сечения,3,S2,Объём тел вращения,direct_user_specification
30,T030,Стереометрия: тела вращения,1,S0,"Конус, цилиндр",direct_user_specification
30,T030,Стереометрия: тела вращения,2,S1,"Сфера, шар",direct_user_specification
30,T030,Стереометрия: тела вращения,3,S2,"Тела вращения: сечения, комбинации",direct_user_specification
31,T031,Стереометрия: угол и расстояние,1,S0,Расстояние от точки до плоскости,direct_user_specification
31,T031,Стереометрия: угол и расстояние,2,S1,Угол между плоскостями (двугранный угол),direct_user_specification
31,T031,Стереометрия: угол и расстояние,3,S2,Угол между прямой и плоскостью,direct_user_specification
32,T032,Текстовые задачи: движение,1,S0,Движение в противоположных направлениях,direct_user_specification
32,T032,Текстовые задачи: движение,2,S1,Движение по воде,direct_user_specification
32,T032,Текстовые задачи: движение,3,S2,Движение по кругу,direct_user_specification
33,T033,Текстовые задачи: производительность и смеси,1,S0,"Задачи на концентрацию, сплавы, смеси",direct_user_specification
33,T033,Текстовые задачи: производительность и смеси,2,S1,Задачи на совместную работу,direct_user_specification
33,T033,Текстовые задачи: производительность и смеси,3,S2,Задачи на производительность труда,direct_user_specification
34,T034,Теория вероятностей: дискретные распределения,1,S0,Биномиальное распределение,direct_user_specification
34,T034,Теория вероятностей: дискретные распределения,2,S1,Дискретные случайные величины,direct_user_specification
34,T034,Теория вероятностей: дискретные распределения,3,S2,Математическое ожидание и дисперсия,direct_user_specification
35,T035,Теория вероятностей: классическая модель,1,S0,Геометрическая вероятность,direct_user_specification
35,T035,Теория вероятностей: классическая модель,2,S1,Классическая вероятность,direct_user_specification
35,T035,Теория вероятностей: классическая модель,3,S2,Условная вероятность и формула Байеса,direct_user_specification
36,T036,Тригонометрические уравнения,1,S0,Однородные тригонометрические уравнения,direct_user_specification
36,T036,Тригонометрические уравнения,2,S1,Отбор корней в тригонометрических уравнениях,direct_user_specification
36,T036,Тригонометрические уравнения,3,S2,Простейшие тригонометрические уравнения,direct_user_specification
37,T037,Тригонометрия: преобразования,1,S0,Основное тригонометрическое тождество,direct_user_specification
37,T037,Тригонометрия: преобразования,2,S1,Формулы приведения,direct_user_specification
37,T037,Тригонометрия: преобразования,3,S2,Формулы сложения и двойного угла,direct_user_specification
38,T038,Уравнения с модулем,1,S0,Графическое решение уравнений с модулем,direct_user_specification
38,T038,Уравнения с модулем,2,S1,Метод интервалов для уравнений с модулем,direct_user_specification
38,T038,Уравнения с модулем,3,S2,Решение уравнений с модулем (раскрытие по случаям),direct_user_specification
39,T039,Уравнения: иррациональные,1,S0,Уравнения с одним радикалом,direct_user_specification
39,T039,Уравнения: иррациональные,2,S1,Уравнения с двумя и более радикалами,direct_user_specification
39,T039,Уравнения: иррациональные,3,S2,Иррациональные уравнения: метод возведения в степень,direct_user_specification
40,T040,Уравнения: показательные и логарифмические,1,S0,Логарифмические уравнения,direct_user_specification
40,T040,Уравнения: показательные и логарифмические,2,S1,Показательные уравнения,direct_user_specification
40,T040,Уравнения: показательные и логарифмические,3,S2,Системы показательных и логарифмических уравнений,direct_user_specification
41,T041,Уравнения: тригонометрические системы,1,S0,Системы тригонометрических уравнений,direct_user_specification
41,T041,Уравнения: тригонометрические системы,2,S1,Тригонометрические уравнения с параметром,direct_user_specification
41,T041,Уравнения: тригонометрические системы,3,S2,Универсальная тригонометрическая подстановка и метод вспомогательного угла,direct_user_specification
42,T042,"Числа, индукция, алгоритмы",1,S0,Системы счисления и запись чисел,direct_user_specification
42,T042,"Числа, индукция, алгоритмы",2,S1,Комплексные числа,direct_user_specification
42,T042,"Числа, индукция, алгоритмы",3,S2,Метод математической индукции,direct_user_specification
43,T043,Функции и графики,1,S0,Область определения и область значений функции,direct_user_specification
43,T043,Функции и графики,2,S1,"Чтение, построение и преобразование графиков",direct_user_specification
43,T043,Функции и графики,3,S2,Композиция и обратная функция,direct_user_specification
