grade,theme_id,theme,level,count,shortage,status
10,T012,Неравенства: метод интервалов и рациональные,1,5,0,READY
10,T012,Неравенства: метод интервалов и рациональные,2,4,1,EMPTY
10,T012,Неравенства: метод интервалов и рациональные,3,4,1,EMPTY
10,T017,Планиметрия: окружность,1,5,0,READY
10,T017,Планиметрия: окружность,2,5,0,READY
10,T017,Планиметрия: окружность,3,5,0,READY
10,T018,Планиметрия: площадь,1,5,0,READY
10,T018,Планиметрия: площадь,2,5,0,READY
10,T018,Планиметрия: площадь,3,5,0,READY
10,T035,Тригонометрические уравнения,1,4,1,EMPTY
10,T035,Тригонометрические уравнения,2,4,1,EMPTY
10,T035,Тригонометрические уравнения,3,5,0,READY
10,T036,Тригонометрия: преобразования,1,4,1,EMPTY
10,T036,Тригонометрия: преобразования,2,3,2,EMPTY
10,T036,Тригонометрия: преобразования,3,3,2,EMPTY
10,T039,Уравнения: показательные и логарифмические,1,5,0,READY
10,T039,Уравнения: показательные и логарифмические,2,5,0,READY
10,T039,Уравнения: показательные и логарифмические,3,3,2,PARTIAL
11,T001,Алгебра: теория групп,1,5,0,READY
11,T001,Алгебра: теория групп,2,5,0,READY
11,T001,Алгебра: теория групп,3,5,0,READY
11,T003,Вероятность и комбинаторика,1,5,0,READY
11,T003,Вероятность и комбинаторика,2,5,0,READY
11,T003,Вероятность и комбинаторика,3,5,0,READY
11,T005,Дополнительные задачи и смешанные темы,1,4,1,EMPTY
11,T005,Дополнительные задачи и смешанные темы,2,3,2,EMPTY
11,T005,Дополнительные задачи и смешанные темы,3,4,1,EMPTY
11,T007,Комбинаторика и теория игр,1,5,0,READY
11,T007,Комбинаторика и теория игр,2,5,0,READY
11,T007,Комбинаторика и теория игр,3,5,0,READY
11,T008,Логика и множества,1,5,0,READY
11,T008,Логика и множества,2,5,0,READY
11,T008,Логика и множества,3,5,0,READY
11,T010,Метод координат: векторы,1,5,0,READY
11,T010,Метод координат: векторы,2,5,0,READY
11,T010,Метод координат: векторы,3,5,0,READY
