grade,section,theme_id,theme,level,approved_count,reserve_count,recheck_count,rejected_count,status,shortage
5,Арифметика и теория чисел,G5_T002_S0,Арифметика и теория чисел: Делимость и остатки,1,0,0,0,0,EMPTY,5
5,Арифметика и теория чисел,G5_T002_S0,Арифметика и теория чисел: Делимость и остатки,2,0,0,0,0,EMPTY,5
5,Арифметика и теория чисел,G5_T002_S0,Арифметика и теория чисел: Делимость и остатки,3,0,0,0,0,EMPTY,5
5,Арифметика и теория чисел,G5_T002_S1,"Арифметика и теория чисел: НОД, НОК, алгоритм Евклида",1,0,0,0,0,EMPTY,5
5,Арифметика и теория чисел,G5_T002_S1,"Арифметика и теория чисел: НОД, НОК, алгоритм Евклида",2,0,0,0,0,EMPTY,5
5,Арифметика и теория чисел,G5_T002_S1,"Арифметика и теория чисел: НОД, НОК, алгоритм Евклида",3,0,0,0,0,EMPTY,5
5,Арифметика и теория чисел,G5_T002_S2,Арифметика и теория чисел: Сравнения по модулю (a ≡ b mod n),1,0,0,0,0,EMPTY,5
5,Арифметика и теория чисел,G5_T002_S2,Арифметика и теория чисел: Сравнения по модулю (a ≡ b mod n),2,0,0,0,0,EMPTY,5
5,Арифметика и теория чисел,G5_T002_S2,Арифметика и теория чисел: Сравнения по модулю (a ≡ b mod n),3,0,0,0,0,EMPTY,5
5,Дополнительные задачи и смешанные темы,G5_T004_S0,Дополнительные задачи и смешанные темы: Задачи на оптимизацию,1,0,0,0,0,EMPTY,5
5,Дополнительные задачи и смешанные темы,G5_T004_S0,Дополнительные задачи и смешанные темы: Задачи на оптимизацию,2,0,0,0,0,EMPTY,5
5,Дополнительные задачи и смешанные темы,G5_T004_S0,Дополнительные задачи и смешанные темы: Задачи на оптимизацию,3,0,0,0,0,EMPTY,5
5,Дополнительные задачи и смешанные темы,G5_T004_S1,Дополнительные задачи и смешанные темы: Комбинированные задачи (алгебра + геометрия),1,0,0,0,0,EMPTY,5
5,Дополнительные задачи и смешанные темы,G5_T004_S1,Дополнительные задачи и смешанные темы: Комбинированные задачи (алгебра + геометрия),2,0,0,0,0,EMPTY,5
5,Дополнительные задачи и смешанные темы,G5_T004_S1,Дополнительные задачи и смешанные темы: Комбинированные задачи (алгебра + геометрия),3,0,0,0,0,EMPTY,5
5,Дополнительные задачи и смешанные темы,G5_T004_S2,Дополнительные задачи и смешанные темы: Задачи на составление уравнений по условию,1,0,0,0,0,EMPTY,5
5,Дополнительные задачи и смешанные темы,G5_T004_S2,Дополнительные задачи и смешанные темы: Задачи на составление уравнений по условию,2,0,0,0,0,EMPTY,5
5,Дополнительные задачи и смешанные темы,G5_T004_S2,Дополнительные задачи и смешанные темы: Задачи на составление уравнений по условию,3,0,0,0,0,EMPTY,5
5,Комбинаторика и теория игр,G5_T005_S0,Комбинаторика и теория игр: Выигрышные и проигрышные позиции,1,0,0,0,0,EMPTY,5
5,Комбинаторика и теория игр,G5_T005_S0,Комбинаторика и теория игр: Выигрышные и проигрышные позиции,2,0,0,0,0,EMPTY,5
5,Комбинаторика и теория игр,G5_T005_S0,Комбинаторика и теория игр: Выигрышные и проигрышные позиции,3,0,0,0,0,EMPTY,5
