task_uid,grade,theme_id,level,quality_status
EXISTING-7b68d39020e2,5,T022,1,RECHECK
EXISTING-b28f5f9a9d73,5,T022,1,RECHECK
EXISTING-7adc03e5a061,5,T022,1,RECHECK
EXISTING-1b63ab7ac462,5,T022,1,RECHECK
EXISTING-3b39d5bbc35c,5,T022,1,RECHECK
EXISTING-6075f0aba827,5,T002,2,RECHECK
EXISTING-05ee13b54c60,5,T002,2,RECHECK
EXISTING-66f342b290b0,5,T002,2,RECHECK
EXISTING-9a8ad5efe2e7,5,T002,2,RECHECK
EXISTING-1fb1aa4a71e2,5,T002,2,RECHECK
EXISTING-22dfed7dbc3c,5,T002,1,RECHECK
EXISTING-b2ebe602e0c6,5,T002,1,RECHECK
EXISTING-d784c62cba6a,5,T002,1,RECHECK
EXISTING-54438bb7a798,5,T002,1,RECHECK
EXISTING-55e39feed6d6,5,T002,1,RECHECK
EXISTING-8819203b1933,5,T002,3,RECHECK
EXISTING-2d5a00ebe963,5,T002,3,RECHECK
EXISTING-df0b0c1df5fc,5,T002,3,RECHECK
EXISTING-32adf34f848c,5,T002,3,RECHECK
EXISTING-e91d2dfcc201,5,T002,3,RECHECK
EXISTING-eddc0400e70d,5,T008,1,RECHECK
EXISTING-18df3c276e9b,5,T008,1,RECHECK
EXISTING-ef3af7e6297c,5,T008,1,RECHECK
EXISTING-4b0e94952bfe,5,T008,1,RECHECK
EXISTING-84c717ad8df5,5,T008,1,RECHECK
EXISTING-69857211f95a,5,T004,1,RECHECK
EXISTING-49bd80ff2679,5,T004,1,RECHECK
EXISTING-183d070ee4a5,5,T004,1,RECHECK
EXISTING-fe459aa04418,5,T004,1,RECHECK
EXISTING-7f93e6561e7b,5,T004,1,RECHECK
EXISTING-8f328066dd8b,5,T022,2,RECHECK
EXISTING-7f138422028c,5,T022,2,RECHECK
EXISTING-df70201a89ac,5,T022,2,RECHECK
EXISTING-6783e1cb4d5f,5,T022,2,RECHECK
EXISTING-03e7022f76cc,5,T022,2,RECHECK
EXISTING-89ef6dba68eb,5,T008,2,RECHECK
EXISTING-d8a08acca6be,5,T008,2,RECHECK
EXISTING-f082d19e8924,5,T008,2,RECHECK
EXISTING-7e7a279eebf1,5,T008,2,RECHECK
EXISTING-a7043515e23f,5,T008,2,RECHECK
EXISTING-230defdd6d0f,5,T004,2,RECHECK
EXISTING-0c7634ea2aa8,5,T004,2,RECHECK
EXISTING-9d901707c171,5,T004,2,RECHECK
EXISTING-3733f3659370,5,T004,2,RECHECK
EXISTING-f69fd5725676,5,T004,2,RECHECK
EXISTING-f02c94114c6d,5,T024,1,RECHECK
EXISTING-45ce54021ff8,5,T024,1,RECHECK
EXISTING-01b874de846c,5,T024,1,RECHECK
EXISTING-91aeb41fd89b,5,T024,1,RECHECK
EXISTING-a83adcfdf791,5,T024,1,RECHECK
EXISTING-6fba5223151c,5,T022,3,RECHECK
EXISTING-54bb3b360851,5,T022,3,RECHECK
EXISTING-e7a64b557563,5,T022,3,RECHECK
EXISTING-f6882586fd8e,5,T022,3,RECHECK
EXISTING-d1068f6735ba,5,T022,3,RECHECK
EXISTING-d2251dbd0411,5,T004,3,RECHECK
EXISTING-9f718bea1e9e,5,T004,3,RECHECK
EXISTING-41168cd149c4,5,T004,3,RECHECK
EXISTING-d8667dda71c1,5,T004,3,RECHECK
EXISTING-4053cfa19182,5,T004,3,RECHECK
EXISTING-58bf9d51a9b8,5,T024,2,RECHECK
EXISTING-52b329d438b7,5,T024,2,RECHECK
EXISTING-eb30c5047621,5,T024,2,RECHECK
EXISTING-58721701fa7e,5,T024,2,RECHECK
EXISTING-d1a80ad2943b,5,T024,2,RECHECK
EXISTING-fffc3019869c,5,T005,1,RECHECK
EXISTING-05d59cc82a92,5,T005,1,RECHECK
EXISTING-2191abb55b6a,5,T005,1,RECHECK
EXISTING-ddd202d2fdc4,5,T005,1,RECHECK
EXISTING-ffa6b5dfc77b,5,T005,1,RECHECK
EXISTING-790809e46553,6,T006,1,RECHECK
EXISTING-d283032ab1b0,6,T006,1,RECHECK
EXISTING-76e4fb94dab4,6,T006,1,RECHECK
EXISTING-71acf47bd68d,6,T006,1,RECHECK
EXISTING-7eab6e806216,6,T006,1,RECHECK
EXISTING-1e38fd191c2c,5,T005,2,RECHECK
EXISTING-3a957db3fd85,5,T005,2,RECHECK
EXISTING-89018339a6ea,5,T005,2,RECHECK
EXISTING-8da549a2e9e3,5,T005,2,RECHECK
EXISTING-4cb8c7c02513,5,T005,2,RECHECK
EXISTING-17e7def1eab8,5,T024,3,RECHECK
EXISTING-15b34d427032,5,T024,3,RECHECK
EXISTING-fd1c9b90c5b4,5,T024,3,RECHECK
EXISTING-1cf11b2f6407,5,T024,3,RECHECK
EXISTING-c67e39da2da7,5,T024,3,RECHECK
EXISTING-ce42537fac82,5,T008,3,RECHECK
EXISTING-a6c0e04bdd0e,5,T008,3,RECHECK
EXISTING-9b0442192309,5,T008,3,RECHECK
EXISTING-63da035d9d69,5,T008,3,RECHECK
EXISTING-56d9437c6585,5,T008,3,RECHECK
EXISTING-949808e3f47f,5,T005,3,RECHECK
EXISTING-97a693c3c12c,5,T005,3,RECHECK
EXISTING-40f958c55c62,5,T005,3,RECHECK
EXISTING-ed10b4db0e05,5,T005,3,RECHECK
EXISTING-c187272edc91,5,T005,3,RECHECK
EXISTING-cce981262c31,6,T006,3,RECHECK
EXISTING-d56113673dda,6,T006,3,RECHECK
EXISTING-51e31e702365,6,T006,3,RECHECK
EXISTING-5a5f51ba16dd,6,T006,3,RECHECK
EXISTING-5acca9fe1c31,6,T006,3,RECHECK
EXISTING-a74df0c4c3d4,6,T007,1,RECHECK
EXISTING-8d292dbeee56,6,T007,1,RECHECK
EXISTING-75ee3133e8b4,6,T007,1,RECHECK
EXISTING-c76db6ceca35,6,T007,1,RECHECK
EXISTING-41343a2ec98b,6,T007,1,RECHECK
EXISTING-dd34da279b4a,6,T032,1,RECHECK
EXISTING-c790d552fe1f,6,T032,1,RECHECK
EXISTING-d6db4e574aba,6,T032,1,RECHECK
EXISTING-56dc4b5e1727,6,T032,1,RECHECK
EXISTING-6c189ba2b899,6,T032,1,RECHECK
EXISTING-62f640f64219,6,T032,2,RECHECK
EXISTING-34f43189009e,6,T032,2,RECHECK
EXISTING-35ebae77b0bd,6,T032,2,RECHECK
EXISTING-36002c8b4003,6,T032,2,RECHECK
EXISTING-2d4b4cc2e0b7,6,T032,2,RECHECK
EXISTING-ff9deba52600,6,T033,1,RECHECK
EXISTING-fe809b4685b7,6,T033,1,RECHECK
EXISTING-349e46ef6278,6,T033,1,RECHECK
EXISTING-f1e666762a44,6,T033,1,RECHECK
EXISTING-caf1e453ab69,6,T033,1,RECHECK
EXISTING-a875620457d6,6,T007,3,RECHECK
EXISTING-7c43ef157f3e,6,T007,3,RECHECK
EXISTING-02690c3b2a25,6,T007,3,RECHECK
EXISTING-adca4f339776,6,T007,3,RECHECK
EXISTING-8999db9bdaab,6,T007,3,RECHECK
EXISTING-35fd71c45c99,6,T006,2,RECHECK
EXISTING-e2aa0e374787,6,T006,2,RECHECK
EXISTING-d05908fa3415,6,T006,2,RECHECK
EXISTING-b9a314e71036,6,T006,2,RECHECK
EXISTING-fcf4c5b348f0,6,T006,2,RECHECK
EXISTING-a8f0493c5e75,6,T033,2,RECHECK
EXISTING-8dd2a2e67d13,6,T033,2,RECHECK
EXISTING-4ddc81a0aed0,6,T033,2,RECHECK
EXISTING-1b2f9358b774,6,T033,2,RECHECK
EXISTING-f5a8717a64c2,6,T033,2,RECHECK
EXISTING-5001c0eab015,6,T016,1,RECHECK
EXISTING-64a267140ccf,6,T016,1,RECHECK
EXISTING-216329638b3a,6,T016,1,RECHECK
EXISTING-eefe164c6f89,6,T016,1,RECHECK
EXISTING-4409ca665876,6,T016,1,RECHECK
EXISTING-2506af6b1e10,6,T033,3,RECHECK
EXISTING-7b59a5c6aae6,6,T033,3,RECHECK
EXISTING-02ccbfa6240f,6,T033,3,RECHECK
EXISTING-fbdab66f1e0d,6,T033,3,RECHECK
EXISTING-e9e6b47c5c86,6,T033,3,RECHECK
EXISTING-fe453a954843,6,T018,1,RECHECK
EXISTING-626b72f57dbf,6,T018,1,RECHECK
EXISTING-133169db920e,6,T018,1,RECHECK
EXISTING-cf9e86c9c0b0,6,T018,1,RECHECK
EXISTING-70ea970c4175,6,T018,1,RECHECK
EXISTING-5d776c22b472,6,T016,2,RECHECK
EXISTING-f0248b83e4a9,6,T016,2,RECHECK
EXISTING-ab7eedf2fb01,6,T016,2,RECHECK
EXISTING-fac0efeb3934,6,T016,2,RECHECK
EXISTING-b83f7d72bc00,6,T016,2,RECHECK
EXISTING-e22108cabc7f,6,T032,3,RECHECK
EXISTING-f55cad118055,6,T032,3,RECHECK
EXISTING-13ccb9981110,6,T032,3,RECHECK
EXISTING-2b09a772cc6c,6,T032,3,RECHECK
EXISTING-5685dca063cb,6,T032,3,RECHECK
EXISTING-c4795dc65766,7,T026,1,RECHECK
EXISTING-da37202d1597,7,T026,1,RECHECK
EXISTING-936e10624f64,7,T026,1,RECHECK
EXISTING-0c72e191691d,7,T026,1,RECHECK
EXISTING-d3d43e4ef1c2,7,T026,1,RECHECK
EXISTING-f446aac9b620,6,T007,2,RECHECK
EXISTING-1a388c2ae574,6,T007,2,RECHECK
EXISTING-88378148df0e,6,T007,2,RECHECK
EXISTING-b81962aeea0b,6,T007,2,RECHECK
EXISTING-bb9dff271568,6,T007,2,RECHECK
EXISTING-23f49f8cf48a,7,T026,2,RECHECK
