cell_key,grade,level,theme_id,theme_name,subtopic_idx,subtopic,current_count,needed,current_levels
G5|L4|T002|S0,5,4,T002,РђСЂРёС„РјРµС‚РёРєР° Рё С‚РµРѕСЂРёСЏ С‡РёСЃРµР»,0,Р”РµР»РёРјРѕСЃС‚СЊ Рё РѕСЃС‚Р°С‚РєРё,5,0,4
G5|L4|T002|S1,5,4,T002,РђСЂРёС„РјРµС‚РёРєР° Рё С‚РµРѕСЂРёСЏ С‡РёСЃРµР»,1,"РќРћР”, РќРћРљ, Р°Р»РіРѕСЂРёС‚Рј Р•РІРєР»РёРґР°",5,0,4
G5|L4|T002|S2,5,4,T002,РђСЂРёС„РјРµС‚РёРєР° Рё С‚РµРѕСЂРёСЏ С‡РёСЃРµР»,2,РЎСЂР°РІРЅРµРЅРёСЏ РїРѕ РјРѕРґСѓР»СЋ (a в‰Ў b mod n),5,0,4
G5|L5|T002|S0,5,5,T002,РђСЂРёС„РјРµС‚РёРєР° Рё С‚РµРѕСЂРёСЏ С‡РёСЃРµР»,0,Р”РµР»РёРјРѕСЃС‚СЊ Рё РѕСЃС‚Р°С‚РєРё,5,0,5
G5|L4|T004|S0,5,4,T004,Р“СЂР°С„С‹: РѕСЃРЅРѕРІРЅС‹Рµ РїРѕРЅСЏС‚РёСЏ,0,"Р“СЂР°С„С‹: РѕРїСЂРµРґРµР»РµРЅРёСЏ, РёР·РѕРјРѕСЂС„РёР·Рј",5,0,4
G5|L4|T004|S1,5,4,T004,Р“СЂР°С„С‹: РѕСЃРЅРѕРІРЅС‹Рµ РїРѕРЅСЏС‚РёСЏ,1,"РњР°СЂС€СЂСѓС‚С‹, С†РµРїРё, С†РёРєР»С‹, Р­Р№Р»РµСЂРѕРІС‹ РіСЂР°С„С‹",5,0,4
G5|L4|T005|S2,5,4,T005,Р”РѕРїРѕР»РЅРёС‚РµР»СЊРЅС‹Рµ Р·Р°РґР°С‡Рё Рё СЃРјРµС€Р°РЅРЅС‹Рµ С‚РµРјС‹,2,РџСЂРёРєР»Р°РґРЅС‹Рµ Р·Р°РґР°С‡Рё,5,0,4
G5|L4|T008|S0,5,4,T008,Р›РѕРіРёРєР° Рё РјРЅРѕР¶РµСЃС‚РІР°,0,Р‘СѓР»РµРІС‹ С„СѓРЅРєС†РёРё Рё РёС… РјРёРЅРёРјРёР·Р°С†РёСЏ,5,0,4
G5|L4|T008|S2,5,4,T008,Р›РѕРіРёРєР° Рё РјРЅРѕР¶РµСЃС‚РІР°,2,РњРЅРѕР¶РµСЃС‚РІР° Рё РѕРїРµСЂР°С†РёРё РЅР°Рґ РЅРёРјРё,5,0,4
G5|L5|T008|S2,5,5,T008,Р›РѕРіРёРєР° Рё РјРЅРѕР¶РµСЃС‚РІР°,2,РњРЅРѕР¶РµСЃС‚РІР° Рё РѕРїРµСЂР°С†РёРё РЅР°Рґ РЅРёРјРё,5,0,5
G5|L4|T022|S0,5,4,T022,"РџСЂРѕС†РµРЅС‚С‹, РѕС‚РЅРѕС€РµРЅРёСЏ Рё РїСЂРѕРїРѕСЂС†РёРё",0,Р—Р°РґР°С‡Рё РЅР° РїСЂРѕС†РµРЅС‚С‹,5,0,4
G5|L4|T022|S1,5,4,T022,"РџСЂРѕС†РµРЅС‚С‹, РѕС‚РЅРѕС€РµРЅРёСЏ Рё РїСЂРѕРїРѕСЂС†РёРё",1,РџСЂРѕРїРѕСЂС†РёРё Рё РѕС‚РЅРѕС€РµРЅРёСЏ,5,0,4
G5|L4|T024|S0,5,4,T024,Р РµС€РµРЅРёРµ Р·Р°РґР°С‡: Р°РЅР°Р»РёР· Рё РёРЅС‚РµСЂРїСЂРµС‚Р°С†РёСЏ,0,РћС†РµРЅРєР° Рё РїСЂРёРєРёРґРєР°,5,0,4
G5|L4|T024|S1,5,4,T024,Р РµС€РµРЅРёРµ Р·Р°РґР°С‡: Р°РЅР°Р»РёР· Рё РёРЅС‚РµСЂРїСЂРµС‚Р°С†РёСЏ,1,РџСЂРѕРІРµСЂРєР° СЂРµС€РµРЅРёСЏ Рё РїРѕРёСЃРє РѕС€РёР±РѕРє,5,0,4
G5|L4|T024|S2,5,4,T024,Р РµС€РµРЅРёРµ Р·Р°РґР°С‡: Р°РЅР°Р»РёР· Рё РёРЅС‚РµСЂРїСЂРµС‚Р°С†РёСЏ,2,РЎРѕСЃС‚Р°РІР»РµРЅРёРµ РїР»Р°РЅР° СЂРµС€РµРЅРёСЏ,5,0,4
G6|L4|T006|S0,6,4,T006,РљРѕРјР±РёРЅР°С‚РѕСЂРёРєР° Рё РІРµСЂРѕСЏС‚РЅРѕСЃС‚СЊ,0,РџРµСЂРµСЃС‚Р°РЅРѕРІРєРё Рё С„Р°РєС‚РѕСЂРёР°Р»С‹,5,0,4
G6|L4|T006|S1,6,4,T006,РљРѕРјР±РёРЅР°С‚РѕСЂРёРєР° Рё РІРµСЂРѕСЏС‚РЅРѕСЃС‚СЊ,1,РџСЂР°РІРёР»Р° СЃР»РѕР¶РµРЅРёСЏ Рё СѓРјРЅРѕР¶РµРЅРёСЏ РІ РєРѕРјР±РёРЅР°С‚РѕСЂРёРєРµ,5,0,4
G6|L4|T006|S2,6,4,T006,РљРѕРјР±РёРЅР°С‚РѕСЂРёРєР° Рё РІРµСЂРѕСЏС‚РЅРѕСЃС‚СЊ,2,Р Р°Р·РјРµС‰РµРЅРёСЏ Рё СЃРѕС‡РµС‚Р°РЅРёСЏ,5,0,4
G6|L5|T006|S0,6,5,T006,РљРѕРјР±РёРЅР°С‚РѕСЂРёРєР° Рё РІРµСЂРѕСЏС‚РЅРѕСЃС‚СЊ,0,РџРµСЂРµСЃС‚Р°РЅРѕРІРєРё Рё С„Р°РєС‚РѕСЂРёР°Р»С‹,5,0,5
G6|L5|T006|S1,6,5,T006,РљРѕРјР±РёРЅР°С‚РѕСЂРёРєР° Рё РІРµСЂРѕСЏС‚РЅРѕСЃС‚СЊ,1,РџСЂР°РІРёР»Р° СЃР»РѕР¶РµРЅРёСЏ Рё СѓРјРЅРѕР¶РµРЅРёСЏ РІ РєРѕРјР±РёРЅР°С‚РѕСЂРёРєРµ,5,0,5
G6|L4|T007|S0,6,4,T007,РљРѕРјР±РёРЅР°С‚РѕСЂРёРєР° Рё С‚РµРѕСЂРёСЏ РёРіСЂ,0,Р’С‹РёРіСЂС‹С€РЅС‹Рµ Рё РїСЂРѕРёРіСЂС‹С€РЅС‹Рµ РїРѕР·РёС†РёРё,5,0,4
G6|L4|T007|S1,6,4,T007,РљРѕРјР±РёРЅР°С‚РѕСЂРёРєР° Рё С‚РµРѕСЂРёСЏ РёРіСЂ,1,РРіСЂС‹ СЃ СЃРёРјРјРµС‚СЂРёС‡РЅРѕР№ СЃС‚СЂР°С‚РµРіРёРµР№,5,0,4
G6|L4|T007|S2,6,4,T007,РљРѕРјР±РёРЅР°С‚РѕСЂРёРєР° Рё С‚РµРѕСЂРёСЏ РёРіСЂ,2,РЎС‚СЂР°С‚РµРіРёСЏ Рё Р°РЅР°Р»РёР· РёРіСЂ,5,0,4
G6|L4|T016|S0,6,4,T016,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: РјРЅРѕРіРѕСѓРіРѕР»СЊРЅРёРєРё,0,"РњРЅРѕРіРѕСѓРіРѕР»СЊРЅРёРєРё: РІРёРґС‹, СЃРІРѕР№СЃС‚РІР°",5,0,4
G6|L4|T016|S1,6,4,T016,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: РјРЅРѕРіРѕСѓРіРѕР»СЊРЅРёРєРё,1,РџР°СЂР°Р»Р»РµР»РѕРіСЂР°РјРјС‹ Рё С‚СЂР°РїРµС†РёРё,5,0,4
G6|L4|T016|S2,6,4,T016,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: РјРЅРѕРіРѕСѓРіРѕР»СЊРЅРёРєРё,2,"РўСЂРµСѓРіРѕР»СЊРЅРёРєРё: РІРёРґС‹, СЃРІРѕР№СЃС‚РІР°",5,0,4
G6|L5|T016|S0,6,5,T016,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: РјРЅРѕРіРѕСѓРіРѕР»СЊРЅРёРєРё,0,"РњРЅРѕРіРѕСѓРіРѕР»СЊРЅРёРєРё: РІРёРґС‹, СЃРІРѕР№СЃС‚РІР°",5,0,5
G6|L5|T016|S2,6,5,T016,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: РјРЅРѕРіРѕСѓРіРѕР»СЊРЅРёРєРё,2,"РўСЂРµСѓРіРѕР»СЊРЅРёРєРё: РІРёРґС‹, СЃРІРѕР№СЃС‚РІР°",5,0,5
G6|L4|T018|S0,6,4,T018,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: РїР»РѕС‰Р°РґСЊ,0,РџР»РѕС‰Р°РґРё РїРѕРґРѕР±РЅС‹С… С„РёРіСѓСЂ,5,0,4
G6|L4|T018|S1,6,4,T018,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: РїР»РѕС‰Р°РґСЊ,1,РџР»РѕС‰Р°РґСЊ РєСЂСѓРіР° Рё РµРіРѕ С‡Р°СЃС‚РµР№,5,0,4
G6|L4|T018|S2,6,4,T018,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: РїР»РѕС‰Р°РґСЊ,2,Р¤РѕСЂРјСѓР»С‹ РїР»РѕС‰Р°РґРё С‚СЂРµСѓРіРѕР»СЊРЅРёРєР° Рё С‡РµС‚С‹СЂС‘С…СѓРіРѕР»СЊРЅРёРєР°,5,0,4
G6|L4|T032|S0,6,4,T032,РўРµРєСЃС‚РѕРІС‹Рµ Р·Р°РґР°С‡Рё: РґРІРёР¶РµРЅРёРµ,0,Р”РІРёР¶РµРЅРёРµ РІ РїСЂРѕС‚РёРІРѕРїРѕР»РѕР¶РЅС‹С… РЅР°РїСЂР°РІР»РµРЅРёСЏС…,5,0,4
G6|L4|T032|S1,6,4,T032,РўРµРєСЃС‚РѕРІС‹Рµ Р·Р°РґР°С‡Рё: РґРІРёР¶РµРЅРёРµ,1,Р”РІРёР¶РµРЅРёРµ РїРѕ РІРѕРґРµ,5,0,4
G6|L4|T032|S2,6,4,T032,РўРµРєСЃС‚РѕРІС‹Рµ Р·Р°РґР°С‡Рё: РґРІРёР¶РµРЅРёРµ,2,Р”РІРёР¶РµРЅРёРµ РїРѕ РєСЂСѓРіСѓ,5,0,4
G6|L5|T032|S0,6,5,T032,РўРµРєСЃС‚РѕРІС‹Рµ Р·Р°РґР°С‡Рё: РґРІРёР¶РµРЅРёРµ,0,Р”РІРёР¶РµРЅРёРµ РІ РїСЂРѕС‚РёРІРѕРїРѕР»РѕР¶РЅС‹С… РЅР°РїСЂР°РІР»РµРЅРёСЏС…,5,0,5
G6|L5|T032|S2,6,5,T032,РўРµРєСЃС‚РѕРІС‹Рµ Р·Р°РґР°С‡Рё: РґРІРёР¶РµРЅРёРµ,2,Р”РІРёР¶РµРЅРёРµ РїРѕ РєСЂСѓРіСѓ,5,0,5
G6|L4|T033|S0,6,4,T033,РўРµРєСЃС‚РѕРІС‹Рµ Р·Р°РґР°С‡Рё: РїСЂРѕРёР·РІРѕРґРёС‚РµР»СЊРЅРѕСЃС‚СЊ Рё СЃРјРµСЃРё,0,"Р—Р°РґР°С‡Рё РЅР° РєРѕРЅС†РµРЅС‚СЂР°С†РёСЋ, СЃРїР»Р°РІС‹, СЃРјРµСЃРё",5,0,4
G6|L4|T033|S1,6,4,T033,РўРµРєСЃС‚РѕРІС‹Рµ Р·Р°РґР°С‡Рё: РїСЂРѕРёР·РІРѕРґРёС‚РµР»СЊРЅРѕСЃС‚СЊ Рё СЃРјРµСЃРё,1,Р—Р°РґР°С‡Рё РЅР° СЃРѕРІРјРµСЃС‚РЅСѓСЋ СЂР°Р±РѕС‚Сѓ,5,0,4
G6|L4|T033|S2,6,4,T033,РўРµРєСЃС‚РѕРІС‹Рµ Р·Р°РґР°С‡Рё: РїСЂРѕРёР·РІРѕРґРёС‚РµР»СЊРЅРѕСЃС‚СЊ Рё СЃРјРµСЃРё,2,Р—Р°РґР°С‡Рё РЅР° РїСЂРѕРёР·РІРѕРґРёС‚РµР»СЊРЅРѕСЃС‚СЊ С‚СЂСѓРґР°,5,0,4
G7|L4|T003|S0,7,4,T003,Р’РµСЂРѕСЏС‚РЅРѕСЃС‚СЊ Рё РєРѕРјР±РёРЅР°С‚РѕСЂРёРєР°,0,Р“РµРѕРјРµС‚СЂРёС‡РµСЃРєР°СЏ РІРµСЂРѕСЏС‚РЅРѕСЃС‚СЊ,5,0,4
G7|L4|T003|S1,7,4,T003,Р’РµСЂРѕСЏС‚РЅРѕСЃС‚СЊ Рё РєРѕРјР±РёРЅР°С‚РѕСЂРёРєР°,1,РљР»Р°СЃСЃРёС‡РµСЃРєР°СЏ РІРµСЂРѕСЏС‚РЅРѕСЃС‚СЊ,5,0,4
G7|L4|T003|S2,7,4,T003,Р’РµСЂРѕСЏС‚РЅРѕСЃС‚СЊ Рё РєРѕРјР±РёРЅР°С‚РѕСЂРёРєР°,2,РЈСЃР»РѕРІРЅР°СЏ РІРµСЂРѕСЏС‚РЅРѕСЃС‚СЊ Рё С„РѕСЂРјСѓР»Р° Р‘Р°Р№РµСЃР°,5,0,4
G7|L5|T003|S0,7,5,T003,Р’РµСЂРѕСЏС‚РЅРѕСЃС‚СЊ Рё РєРѕРјР±РёРЅР°С‚РѕСЂРёРєР°,0,Р“РµРѕРјРµС‚СЂРёС‡РµСЃРєР°СЏ РІРµСЂРѕСЏС‚РЅРѕСЃС‚СЊ,5,0,5
G7|L4|T019|S0,7,4,T019,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: С‚СЂРµСѓРіРѕР»СЊРЅРёРєРё,0,РџРѕРґРѕР±РёРµ С‚СЂРµСѓРіРѕР»СЊРЅРёРєРѕРІ,5,0,4
G7|L4|T019|S1,7,4,T019,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: С‚СЂРµСѓРіРѕР»СЊРЅРёРєРё,1,РџСЂРёР·РЅР°РєРё СЂР°РІРµРЅСЃС‚РІР° С‚СЂРµСѓРіРѕР»СЊРЅРёРєРѕРІ,5,0,4
G7|L4|T019|S2,7,4,T019,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: С‚СЂРµСѓРіРѕР»СЊРЅРёРєРё,2,РўРµРѕСЂРµРјР° РџРёС„Р°РіРѕСЂР°,5,0,4
G7|L5|T019|S0,7,5,T019,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: С‚СЂРµСѓРіРѕР»СЊРЅРёРєРё,0,РџРѕРґРѕР±РёРµ С‚СЂРµСѓРіРѕР»СЊРЅРёРєРѕРІ,5,0,5
G7|L5|T019|S1,7,5,T019,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: С‚СЂРµСѓРіРѕР»СЊРЅРёРєРё,1,РџСЂРёР·РЅР°РєРё СЂР°РІРµРЅСЃС‚РІР° С‚СЂРµСѓРіРѕР»СЊРЅРёРєРѕРІ,5,0,5
G7|L5|T019|S2,7,5,T019,РџР»Р°РЅРёРјРµС‚СЂРёСЏ: С‚СЂРµСѓРіРѕР»СЊРЅРёРєРё,2,РўРµРѕСЂРµРјР° РџРёС„Р°РіРѕСЂР°,5,0,5
G7|L4|T023|S0,7,4,T023,Р Р°С†РёРѕРЅР°Р»СЊРЅС‹Рµ СѓСЂР°РІРЅРµРЅРёСЏ Рё РЅРµСЂР°РІРµРЅСЃС‚РІР°,0,Р”СЂРѕР±РЅРѕ-СЂР°С†РёРѕРЅР°Р»СЊРЅС‹Рµ СѓСЂР°РІРЅРµРЅРёСЏ,5,0,4
G7|L4|T023|S1,7,4,T023,Р Р°С†РёРѕРЅР°Р»СЊРЅС‹Рµ СѓСЂР°РІРЅРµРЅРёСЏ Рё РЅРµСЂР°РІРµРЅСЃС‚РІР°,1,РњРµС‚РѕРґ Р·Р°РјРµРЅС‹ РїРµСЂРµРјРµРЅРЅРѕР№ РІ СЂР°С†РёРѕРЅР°Р»СЊРЅС‹С… СѓСЂР°РІРЅРµРЅРёСЏС…,5,0,4
G7|L4|T023|S2,7,4,T023,Р Р°С†РёРѕРЅР°Р»СЊРЅС‹Рµ СѓСЂР°РІРЅРµРЅРёСЏ Рё РЅРµСЂР°РІРµРЅСЃС‚РІР°,2,Р Р°С†РёРѕРЅР°Р»СЊРЅС‹Рµ СѓСЂР°РІРЅРµРЅРёСЏ,5,0,4
G7|L5|T023|S0,7,5,T023,Р Р°С†РёРѕРЅР°Р»СЊРЅС‹Рµ СѓСЂР°РІРЅРµРЅРёСЏ Рё РЅРµСЂР°РІРµРЅСЃС‚РІР°,0,Р”СЂРѕР±РЅРѕ-СЂР°С†РёРѕРЅР°Р»СЊРЅС‹Рµ СѓСЂР°РІРЅРµРЅРёСЏ,5,0,5
G7|L5|T023|S2,7,5,T023,Р Р°С†РёРѕРЅР°Р»СЊРЅС‹Рµ СѓСЂР°РІРЅРµРЅРёСЏ Рё РЅРµСЂР°РІРµРЅСЃС‚РІР°,2,Р Р°С†РёРѕРЅР°Р»СЊРЅС‹Рµ СѓСЂР°РІРЅРµРЅРёСЏ,5,0,5
G7|L4|T025|S0,7,4,T025,Р РµС€РµРЅРёРµ СѓСЂР°РІРЅРµРЅРёР№: РјРµС‚РѕРґС‹ Р·Р°РјРµРЅС‹,0,Р—Р°РјРµРЅР° РїРµСЂРµРјРµРЅРЅРѕР№ (РїРѕРґСЃС‚Р°РЅРѕРІРєР°),5,0,4
