cell_key,grade,level,theme_id,theme_name,subtopic_idx,subtopic,current_count,needed,reinstatements_available,reinstatements_usable,adjusted_needed
G11|L5|T001|S1,11,5,T001,Алгебра: теория групп,1,"Группы: подгруппы, смежные классы",0,5,0,0,5
G11|L5|T001|S2,11,5,T001,Алгебра: теория групп,2,Гомоморфизмы и факторгруппы,0,5,0,0,5
G11|L5|T034|S0,11,5,T034,Теория вероятностей: дискретные распределения,0,Биномиальное распределение,0,5,0,0,5
G11|L5|T043|S1,11,5,T043,Стереометрия: объёмы и сечения,1,Объём тел вращения,0,5,0,0,5
G5|L4|T004|S2,5,4,T004,Графы: основные понятия,2,Связность и компоненты связности,0,5,0,0,5
G5|L4|T005|S0,5,4,T005,Дополнительные задачи и смешанные темы,0,Задачи на оптимизацию,0,5,0,0,5
G5|L4|T005|S1,5,4,T005,Дополнительные задачи и смешанные темы,1,Комбинированные задачи (алгебра + геометрия),0,5,0,0,5
G5|L4|T008|S1,5,4,T008,Логика и множества,1,Логические операции и таблицы истинности,0,5,0,0,5
G5|L5|T004|S1,5,5,T004,Графы: основные понятия,1,"Маршруты, цепи, циклы, Эйлеровы графы",0,5,0,0,5
G5|L5|T004|S2,5,5,T004,Графы: основные понятия,2,Связность и компоненты связности,0,5,0,0,5
G5|L5|T005|S0,5,5,T005,Дополнительные задачи и смешанные темы,0,Задачи на оптимизацию,0,5,0,0,5
G5|L5|T005|S1,5,5,T005,Дополнительные задачи и смешанные темы,1,Комбинированные задачи (алгебра + геометрия),0,5,0,0,5
G5|L5|T008|S0,5,5,T008,Логика и множества,0,Булевы функции и их минимизация,0,5,0,0,5
G5|L5|T008|S1,5,5,T008,Логика и множества,1,Логические операции и таблицы истинности,0,5,0,0,5
G5|L5|T022|S0,5,5,T022,"Проценты, отношения и пропорции",0,Задачи на проценты,0,5,0,0,5
G5|L5|T022|S1,5,5,T022,"Проценты, отношения и пропорции",1,Пропорции и отношения,0,5,0,0,5
G5|L5|T022|S2,5,5,T022,"Проценты, отношения и пропорции",2,Прямая и обратная пропорциональность,0,5,0,0,5
G5|L5|T024|S1,5,5,T024,Решение задач: анализ и интерпретация,1,Проверка решения и поиск ошибок,0,5,0,0,5
G5|L5|T024|S2,5,5,T024,Решение задач: анализ и интерпретация,2,Составление плана решения,0,5,0,0,5
G6|L5|T006|S2,6,5,T006,Комбинаторика и вероятность,2,Размещения и сочетания,0,5,0,0,5
G6|L5|T007|S0,6,5,T007,Комбинаторика и теория игр,0,Выигрышные и проигрышные позиции,0,5,0,0,5
G6|L5|T007|S1,6,5,T007,Комбинаторика и теория игр,1,Игры с симметричной стратегией,0,5,0,0,5
G6|L5|T007|S2,6,5,T007,Комбинаторика и теория игр,2,Стратегия и анализ игр,0,5,0,0,5
G6|L5|T016|S1,6,5,T016,Планиметрия: многоугольники,1,Параллелограммы и трапеции,0,5,0,0,5
G6|L5|T018|S2,6,5,T018,Планиметрия: площадь,2,Формулы площади треугольника и четырёхугольника,0,5,0,0,5
G6|L5|T032|S1,6,5,T032,Текстовые задачи: движение,1,Движение по воде,0,5,0,0,5
G6|L5|T033|S0,6,5,T033,Текстовые задачи: производительность и смеси,0,"Задачи на концентрацию, сплавы, смеси",0,5,0,0,5
G6|L5|T033|S1,6,5,T033,Текстовые задачи: производительность и смеси,1,Задачи на совместную работу,0,5,0,0,5
G6|L5|T033|S2,6,5,T033,Текстовые задачи: производительность и смеси,2,Задачи на производительность труда,0,5,0,0,5
