i,ok,correct,ttft_s,total_s,gen_s,gen_tok_s,prompt_tokens,completion_tokens,reasoning_tokens,cached_tokens,total_tokens,attempts,error
1,1,1,1.486,32.38,30.894,85.97,125,2656,1711,0,2781,1,
2,1,1,1.178,21.955,20.777,84.33,125,1752,1201,0,1877,1,
3,1,1,1.6,16.792,15.192,91.76,125,1394,827,0,1519,1,
4,1,1,1.242,13.389,12.147,87.26,125,1060,693,0,1185,1,
5,1,1,1.444,18.491,17.046,88.58,125,1510,875,0,1635,1,
6,1,1,1.037,27.29,26.254,81.86,125,2149,1759,0,2274,1,
7,1,1,1.117,12.037,10.92,93.32,125,1019,629,0,1144,1,
8,1,1,1.597,19.738,18.142,84.89,125,1540,1016,0,1665,1,
9,1,1,1.114,27.527,26.413,74.58,125,1970,1497,0,2095,1,
10,1,1,1.114,21.793,20.679,85.64,125,1771,1443,0,1896,1,
11,1,1,1.411,17.47,16.059,87.3,125,1402,801,0,1527,1,
12,1,1,1.098,17.199,16.101,80.8,125,1301,833,0,1426,1,
13,1,1,1.613,44.395,42.781,87.84,125,3758,2544,0,3883,1,
14,1,1,0.965,19.627,18.662,87.13,125,1626,964,0,1751,1,
15,1,1,1.246,20.479,19.233,89.85,125,1728,1064,0,1853,1,
16,1,1,1.192,15.756,14.564,85.96,125,1252,789,0,1377,1,
17,1,1,1.325,13.599,12.274,91.41,125,1122,635,0,1247,1,
18,1,1,1.186,15.776,14.591,98.62,125,1439,937,0,1564,1,
19,1,1,1.637,20.685,19.047,86.31,125,1644,982,0,1769,1,
20,1,1,0.763,15.135,14.372,89.41,125,1285,729,0,1410,1,
21,1,1,1.327,14.444,13.118,91.71,125,1203,389,0,1328,1,
22,1,1,1.531,19.985,18.455,88.05,125,1625,1012,0,1750,1,
23,1,1,1.222,27.021,25.8,84.77,125,2187,1049,0,2312,1,
24,1,1,1.103,15.662,14.559,91.63,125,1334,795,0,1459,1,
25,1,1,1.129,18.476,17.347,94.25,125,1635,1107,0,1760,1,
26,1,1,1.156,12.598,11.442,87.49,125,1001,633,0,1126,1,
27,1,1,1.177,22.293,21.116,85.86,125,1813,1088,0,1938,1,
28,1,1,1.462,22.905,21.442,89.31,125,1915,962,0,2040,1,
29,1,1,1.632,17.26,15.628,87.02,125,1360,584,0,1485,1,
30,1,1,0.971,26.266,25.296,91.95,125,2326,1330,0,2451,1,
31,1,1,1.066,16.137,15.07,91.31,125,1376,814,0,1501,1,
32,1,1,1.46,16.368,14.908,98.0,125,1461,789,0,1586,1,
33,1,1,1.177,30.423,29.246,87.05,125,2546,1779,0,2671,1,
34,1,1,1.543,14.859,13.316,93.87,125,1250,816,0,1375,1,
35,1,1,1.474,14.467,12.993,80.58,125,1047,442,0,1172,1,
36,1,1,1.344,16.989,15.645,88.33,125,1382,793,0,1507,1,
37,1,1,1.259,18.388,17.129,82.26,125,1409,688,0,1534,1,
38,1,1,1.343,19.928,18.585,82.92,125,1541,1127,0,1666,1,
