grade,topic,d1,d2,d3,d4,d5,total,deficit_d1,deficit_d2,deficit_d3,deficit_d4,deficit_d5,total_deficit
5,"Взвешивания, переливания и алгоритмы",3,10,23,40,9,85,22,15,2,0,16,55
5,Геометрия (периметры и площади),1,0,0,0,0,1,24,25,25,25,25,124
5,Геометрия на клетчатой бумаге и разрезания,1,9,27,35,4,76,24,16,0,0,21,61
5,"Графы (знакомства, турниры, маршруты)",0,0,4,5,2,11,25,25,21,20,23,114
5,"Делимость, остатки и последняя цифра",5,16,15,13,3,52,20,9,10,12,22,73
5,"Дроби, доли и пропорции",2,0,0,0,0,2,23,25,25,25,25,123
5,"Инварианты, четность и чередование",0,1,7,57,5,70,25,24,18,0,20,87
5,Комбинаторика (правило суммы и произведения),1,0,0,0,0,1,24,25,25,25,25,124
5,"Комбинаторика (правилы суммы/произведения, деревья)",26,16,18,13,12,85,0,9,7,12,13,41
5,"Логика (рыцари и лжецы, логические таблицы)",0,19,51,17,0,87,25,6,0,8,25,64
5,Принцип Дирихле,0,12,27,36,5,80,25,13,0,0,20,58
5,"Текстовые задачи (совместная работа, обратный ход)",0,15,3,0,0,18,25,10,22,25,25,107
5,Числовые ребусы и крипторифмы,1,15,24,27,2,69,24,10,1,0,23,58
6,"Взвешивания, переливания и алгоритмы",0,0,0,5,9,14,25,25,25,20,16,111
6,Геометрия (периметры и площади),2,34,30,20,3,89,23,0,0,5,22,50
6,Геометрия на клетчатой бумаге и разрезания,0,0,0,12,2,14,25,25,25,13,23,111
6,"Графы (знакомства, турниры, маршруты)",0,2,9,51,7,69,25,23,16,0,18,82
6,"Делимость, остатки и последняя цифра",0,0,13,19,1,33,25,25,12,6,24,92
6,"Дроби, доли и пропорции",1,40,41,6,0,88,24,0,0,19,25,68
6,"Инварианты (четность, раскраски)",0,1,3,93,8,105,25,24,22,0,17,88
6,"Инварианты, четность и чередование",0,0,0,9,0,9,25,25,25,16,25,116
6,Комбинаторика (правило суммы и произведения),12,38,23,6,0,79,13,0,2,19,25,59
6,"Комбинаторика (правилы суммы/произведения, деревья)",0,0,1,3,0,4,25,25,24,22,25,121
6,"Логика (рыцари и лжецы, логические таблицы)",0,24,48,25,0,97,25,1,0,0,25,51
6,"НОД, НОК и основная теорема арифметики",0,10,41,24,3,78,25,15,0,1,22,63
6,Признаки делимости и остатки,0,3,45,36,3,87,25,22,0,0,22,69
6,Принцип Дирихле,1,7,14,70,6,98,24,18,11,0,19,72
6,Разрезания и замощения,0,1,4,79,10,94,25,24,21,0,15,85
6,"Текстовые задачи (совместная работа, обратный ход)",0,6,54,15,0,75,25,19,0,10,25,79
6,Числовые ребусы и крипторифмы,0,0,0,5,2,7,25,25,25,20,23,118
7,Алгебраические тождества и преобразования,0,13,15,3,1,32,25,12,10,22,24,93
7,"Взвешивания, переливания и алгоритмы",0,0,0,0,5,5,25,25,25,25,20,120
7,Геометрические доказательства,0,4,13,4,0,21,25,21,12,21,25,104
7,Геометрия на клетчатой бумаге и разрезания,0,0,0,0,5,5,25,25,25,25,20,120
7,"Графы (знакомства, турниры, маршруты)",0,0,1,39,29,69,25,25,24,0,0,74
7,"Делимость, остатки и последняя цифра",0,0,1,6,4,11,25,25,24,19,21,114
7,"Инварианты, четность и чередование",0,0,0,1,19,20,25,25,25,24,6,105
7,Комбинаторика,0,5,18,22,4,49,25,20,7,3,21,76
7,Комбинаторика (правило суммы и произведения),0,1,6,2,0,9,25,24,19,23,25,116
7,"Комбинаторика (правилы суммы/произведения, деревья)",0,0,1,1,7,9,25,25,24,24,18,116
7,Линейные уравнения и системы,3,20,27,17,2,69,22,5,0,8,23,58
7,"Логика (рыцари и лжецы, логические таблицы)",0,0,0,1,1,2,25,25,25,24,24,123
7,Логика и инварианты,0,7,22,34,5,68,25,18,3,0,20,66
7,"НОД, НОК и основная теорема арифметики",0,0,2,2,0,4,25,25,23,23,25,121
7,Начала геометрии,2,6,8,7,0,23,23,19,17,18,25,102
7,Неравенства,3,2,8,5,0,18,22,23,17,20,25,107
7,Принцип Дирихле,0,0,0,2,3,5,25,25,25,23,22,120
7,"Текстовые задачи (совместная работа, обратный ход)",0,0,4,0,0,4,25,25,21,25,25,121
7,Теория чисел,0,14,28,24,4,70,25,11,0,1,21,58
7,Треугольники,0,0,12,10,0,22,25,25,13,15,25,103
7,Функции и графики,2,8,8,1,1,20,23,17,17,24,24,105
7,Числовые ребусы и крипторифмы,0,0,0,0,1,1,25,25,25,25,24,124
